RATE,TYPE,LOCATIONID,TS
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:55:56.662"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:09.680"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:09.680"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:09.680"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:22.964"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:22.964"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:22.964"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:35.626"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:35.626"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:35.626"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:48.381"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:48.381"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:56:48.381"
2160,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:00.883"
480,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:00.883"
2640,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:00.883"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:14.446"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:14.446"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:14.446"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:27.056"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:27.056"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:27.056"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:40.340"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:40.340"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:40.340"
2460,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:53.036"
420,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:53.036"
2880,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:57:53.036"
1740,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:07.187"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:07.187"
2340,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:07.187"
1740,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:20.368"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:20.368"
2340,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:20.368"
1740,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:33.932"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:33.932"
2340,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:33.932"
1740,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:47.446"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:47.446"
2340,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 07:59:47.446"
1740,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:01.179"
600,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:01.179"
2340,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:01.179"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:13.857"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:13.857"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:13.857"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:26.964"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:26.964"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:26.964"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:39.679"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:39.679"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:39.679"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:52.844"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:52.844"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:00:52.844"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:06.033"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:06.033"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:06.033"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:19.220"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:19.220"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:19.220"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:32.404"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:32.404"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:32.404"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:44.965"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:44.965"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:44.965"
2700,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:57.581"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:57.581"
3060,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:01:57.581"
2400,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:11.955"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:11.955"
2760,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:11.955"
2400,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:25.653"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:25.653"
2760,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:25.653"
2400,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:38.886"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:38.886"
2760,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:38.886"
2400,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:51.940"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:51.940"
2760,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:02:51.940"
2400,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:05.514"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:05.514"
2760,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:05.514"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:20.839"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:20.839"
2700,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:20.839"
2340,CAR,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:34.401"
360,LORRY,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:34.402"
2700,ANY_VEHICLE,mq.MQ_57.265_HFB_NO,"2019-04-17 08:03:34.402"
